Parametro,Simulacion_Mediana,Simulacion_16%,Simulacion_84%,SPARC_Mediana,SPARC_16%,SPARC_84%
M_d (M_sol),43110352553.12607,37533249615.678276,48997419735.63537,28284980820.03588,26643313098.060867,29879325750.933807
R_d (kpc),3.0729293005928326,2.834212438345911,3.340454984918525,4.142201811016327,4.018847585968689,4.262184277321447
M_200 (M_sol),745370111186.7821,597719591312.541,966769064702.8937,530741040101.61646,514345406482.8856,548419480724.0755
c,15.848131871280989,13.433768093447535,17.921554906194764,8.165106775979329,7.9984003938294945,8.506476660568207
